"methodId","total_garbage","minimum","maximum","number_times"
2828,0,0,0,1359
2829,0,0,0,646
2830,0,0,0,11
2831,0,0,0,3157
2833,0,0,0,1668
2834,261056,0,30512,65
2835,0,0,0,10
2836,0,0,0,10
2838,0,0,0,2712
2840,0,0,0,97
2848,0,0,0,1217
2849,0,0,0,2114
2853,0,0,0,1696
2854,0,0,0,2407
2858,0,0,0,2
2862,0,0,0,21
2864,0,0,0,21
2870,0,0,0,6
2874,0,0,0,21
2885,0,0,0,2
2886,0,0,0,21
2892,0,0,0,2
2897,0,0,0,21
2899,0,0,0,21
2903,0,0,0,21
2904,0,0,0,2
2907,0,0,0,40
2908,0,0,0,16
2909,240,0,40,7
2914,0,0,0,51
2915,0,0,0,14
2916,0,0,0,27
2917,0,0,0,24
2920,0,0,0,9
2921,0,0,0,1
2922,0,0,0,9
2947,0,0,0,14
2948,0,0,0,7
2949,0,0,0,7
2950,0,0,0,7
2962,0,0,0,14
2963,0,0,0,22
2964,0,0,0,1
2967,0,0,0,1
2979,0,0,0,14
2980,0,0,0,2
2984,0,0,0,2
2985,0,0,0,2
2987,0,0,0,21
2989,0,0,0,21
2990,0,0,0,21
2994,0,0,0,2
2998,0,0,0,2
2999,0,0,0,2
3000,0,0,0,2
3001,0,0,0,2
3004,0,0,0,21
3006,0,0,0,21
3008,0,0,0,21
3010,0,0,0,2
3011,0,0,0,2
3012,0,0,0,2
3014,0,0,0,2
3015,0,0,0,2
3018,0,0,0,2
3019,0,0,0,2
3021,0,0,0,2
3022,0,0,0,2
3025,0,0,0,21
3040,0,0,0,620
3041,0,0,0,113
3042,0,0,0,12
3043,0,0,0,507
3053,0,0,0,480
3054,0,0,0,1141
3058,0,0,0,365
3059,72,0,72,429
3060,0,0,0,1211
3068,0,0,0,450
3103,0,0,0,1197
3104,0,0,0,770
3105,26208,0,600,38964
3106,0,0,0,9073
3107,0,0,0,3837
3108,0,0,0,1711
3111,0,0,0,1439
3112,0,0,0,2470
3113,0,0,0,471
3114,1344,0,64,2547
3115,0,0,0,104
3121,19408,0,10176,4984105
3122,0,0,0,168
3125,0,0,0,28499
3126,0,0,0,693
3129,0,0,0,1865
3130,0,0,0,507
3136,0,0,0,1146
3139,0,0,0,241
3141,0,0,0,483
3145,0,0,0,483
3146,0,0,0,43
3147,2800,0,2800,63750
3150,256,0,128,86
3153,0,0,0,2
3154,8216,0,104,86
3155,0,0,0,2
3158,0,0,0,158
3159,8960,0,112,82
3160,14744,176,192,80
3163,0,0,0,80
3180,0,0,0,300
3184,0,0,0,1923
3187,0,0,0,1923
3189,0,0,0,86
3199,0,0,0,19180
3202,0,0,0,19180
3204,0,0,0,88
3214,0,0,0,5386
3217,0,0,0,5386
3219,0,0,0,162
3278,0,0,0,2
3279,0,0,0,1070
3280,0,0,0,12
3281,0,0,0,1
3282,0,0,0,12
3283,0,0,0,11
3285,0,0,0,1144
3310,0,0,0,2
3311,0,0,0,2
3312,0,0,0,42
3313,0,0,0,21
3315,0,0,0,21
3317,0,0,0,21
3318,0,0,0,7
3334,0,0,0,1092
3335,0,0,0,1037
3337,0,0,0,207
3345,0,0,0,29
3346,0,0,0,3
3347,0,0,0,29
3348,0,0,0,29
3349,4256,0,184,56
3352,0,0,0,2
3353,0,0,0,23
3354,0,0,0,797
3355,0,0,0,6
3356,0,0,0,2
3359,0,0,0,1040
3360,0,0,0,797
3366,0,0,0,3
3367,0,0,0,3
3368,0,0,0,3
3369,0,0,0,3
3393,0,0,0,1
3395,0,0,0,1058
3408,0,0,0,69
3423,0,0,0,1
3435,0,0,0,49
3437,0,0,0,2502
3438,0,0,0,1
3439,0,0,0,1
3444,0,0,0,2748
3445,0,0,0,1374
3446,0,0,0,1128
3447,0,0,0,1128
3449,0,0,0,69
3450,0,0,0,1058
3451,0,0,0,51
3452,0,0,0,16
3453,0,0,0,6
3456,0,0,0,20
3457,0,0,0,1374
3458,0,0,0,1128
3461,0,0,0,1
3462,0,0,0,6
3463,0,0,0,1128
3465,0,0,0,1128
3466,456,0,152,1736
3467,0,0,0,501
3468,0,0,0,2276
3469,0,0,0,1
3470,0,0,0,4420
3472,0,0,0,1873
3473,0,0,0,1
3474,0,0,0,1
3475,0,0,0,40863
3477,5624,0,152,86
3478,0,0,0,716
3479,0,0,0,236
3481,152,152,0,1
3482,3240,0,112,117877
3483,0,0,0,87
3487,0,0,0,101632
3489,229248,104,120,2144
3492,0,0,0,40447
3493,0,0,0,40683
3495,456,152,152,3
3499,0,0,0,1157
3502,0,0,0,5304
3510,760,0,152,18185
3513,3784,0,152,177
3522,0,0,0,1128
3523,81000,72,144,1122
3524,0,0,0,1128
3525,0,0,0,3372
3529,0,0,0,7
3530,0,0,0,1134
3539,0,0,0,59
3540,0,0,0,515
3541,0,0,0,574
3542,0,0,0,1
3544,8352,0,96,923
3546,19248,0,48,750
3548,0,0,0,578
3550,0,0,0,57
3551,0,0,0,579
3552,0,0,0,334
3553,2112,0,264,931
3555,264,0,88,832
3556,0,0,0,6
3558,12840,0,40,1030
3560,240,0,40,31
3562,94056,0,312,547
3564,0,0,0,9
3565,1104,0,184,9
3567,6360,0,336,35
3568,0,0,0,1
3569,9928,0,328,93
3570,504,0,88,725
3571,176,0,88,3
3573,2520,40,40,63
3575,0,0,0,5
3576,171960,0,272,700
3578,0,0,0,65
3579,1624,0,88,42
3580,0,0,0,6
3582,0,0,0,1
3583,704,0,192,6
3605,0,0,0,31
3606,0,0,0,15
3612,0,0,0,1
3613,0,0,0,1
3646,0,0,0,1
3649,0,0,0,5
3650,0,0,0,2178
3651,0,0,0,1844
3652,0,0,0,1342
3655,0,0,0,578
3656,0,0,0,578
3657,0,0,0,547
3658,0,0,0,210
3660,0,0,0,245
3661,0,0,0,821
3663,0,0,0,821
3664,0,0,0,36
3666,0,0,0,63
3672,0,0,0,5
3674,0,0,0,700
3675,0,0,0,700
3677,16904,0,4120,65
3679,0,0,0,6
3692,0,0,0,31
3696,0,0,0,2
3697,0,0,0,2
3698,0,0,0,789
3699,0,0,0,245
3700,0,0,0,1400
3701,480,0,40,1218
3702,0,0,0,2
3703,0,0,0,245
3704,0,0,0,2
3705,0,0,0,245
3706,0,0,0,4
3707,0,0,0,3
3709,0,0,0,2
3713,0,0,0,13
3714,0,0,0,1268
3716,0,0,0,268
3717,0,0,0,268
3718,80,0,40,268
3719,0,0,0,268
3721,0,0,0,5
3723,4544,120,344,14
3724,0,0,0,23
3725,86728,0,74992,1401
3726,0,0,0,5
3730,0,0,0,268
3733,0,0,0,1
3737,0,0,0,31
3741,0,0,0,31
3743,0,0,0,245
3744,0,0,0,533
3746,0,0,0,337
3748,0,0,0,1148
3750,0,0,0,1148
3753,0,0,0,188
3754,27552,24,24,1148
3780,0,0,0,1478
3808,0,0,0,9
3809,0,0,0,9
3810,0,0,0,42
3811,2304,0,384,118
3812,0,0,0,1268
3813,0,0,0,1268
3814,0,0,0,118
3817,0,0,0,1268
3818,0,0,0,194
3819,0,0,0,374
3820,0,0,0,114
3821,0,0,0,262
3822,0,0,0,2496
3823,0,0,0,61
3824,0,0,0,3911
3825,0,0,0,9345
3826,0,0,0,3650
3827,7840,0,112,2515
3828,0,0,0,1122
3829,0,0,0,1134
3831,1056,0,352,40
3832,0,0,0,40
3834,0,0,0,98
3836,0,0,0,18
3840,0,0,0,137
3844,0,0,0,42
3845,0,0,0,42
3846,0,0,0,42
3847,2016,48,48,42
3848,0,0,0,1
3851,0,0,0,114
3852,0,0,0,2311
3853,0,0,0,1122
3854,0,0,0,6
3855,0,0,0,1122
3856,0,0,0,2250
3857,0,0,0,1122
3858,0,0,0,40
3859,0,0,0,1268
3860,0,0,0,1154
3863,0,0,0,114
3864,0,0,0,76
3865,0,0,0,76
3866,0,0,0,76
3867,0,0,0,1122
3869,0,0,0,1
3870,0,0,0,1
3871,0,0,0,1
3881,0,0,0,1
3884,64,64,0,1
3885,0,0,0,1
3887,0,0,0,1
3888,0,0,0,1190
3889,0,0,0,1128
3892,0,0,0,51
3893,0,0,0,1374
3894,0,0,0,16
3899,0,0,0,4814
3900,0,0,0,31
3901,0,0,0,2
3903,0,0,0,20
3904,0,0,0,40
3905,0,0,0,188
3906,0,0,0,31
3907,0,0,0,31
3908,0,0,0,31
3910,152,0,152,11169
3911,0,0,0,14856
3912,0,0,0,8
3913,0,0,0,17365
3915,0,0,0,57317
3917,0,0,0,8
3918,0,0,0,37
3920,872,0,872,18
3922,323656,0,264,85943
3923,705680,72,6936,2501
3926,0,0,0,1
3927,1368,0,152,10
3929,0,0,0,3
3930,0,0,0,1
3932,0,0,0,9
3933,403552,0,392,84278
3935,6752,0,680,39
4001,0,0,0,12
4043,0,0,0,1
4044,0,0,0,328
4046,0,0,0,31
4047,0,0,0,8
4049,0,0,0,1
4050,0,0,0,22
4051,0,0,0,1154
4052,0,0,0,1154
4053,0,0,0,6
4054,0,0,0,1148
4058,0,0,0,13
4065,0,0,0,2
4076,0,0,0,6
4078,0,0,0,1129
4083,0,0,0,1
4086,0,0,0,325
4087,0,0,0,1
4100,0,0,0,1849
4101,0,0,0,15465
4102,0,0,0,29
4103,0,0,0,34
4104,0,0,0,1729
4105,0,0,0,218
4106,0,0,0,6715
4107,66072,0,11024,5058
4108,0,0,0,3
4109,0,0,0,41
4110,0,0,0,42
4111,0,0,0,37
4112,0,0,0,13
4113,8272,0,8272,5
4126,0,0,0,16
4142,0,0,0,37
4143,0,0,0,8
4144,0,0,0,24
4145,0,0,0,22
4146,0,0,0,20
4148,0,0,0,10
4152,0,0,0,10
4187,0,0,0,10
4188,0,0,0,22
4190,0,0,0,22
4193,4592,0,3800,111
4196,0,0,0,111
4199,0,0,0,36
4201,0,0,0,33
4206,0,0,0,22
4208,3040,152,152,20
4213,0,0,0,6
4214,0,0,0,22
4257,0,0,0,1
4270,0,0,0,1
4274,0,0,0,1
4275,0,0,0,1
4276,0,0,0,1
4279,0,0,0,1
4283,0,0,0,2
4285,0,0,0,1
4293,0,0,0,2
4295,0,0,0,2
4299,0,0,0,6
4300,0,0,0,4
4301,0,0,0,4
4302,0,0,0,2
4308,0,0,0,1
4317,0,0,0,6
4324,0,0,0,1
4330,0,0,0,1
4340,0,0,0,6
4341,48,0,48,25
4342,0,0,0,6
4343,0,0,0,25
4345,0,0,0,6
4346,0,0,0,8368
4347,0,0,0,7
4348,0,0,0,2
4349,0,0,0,5
4350,4312,0,1976,211
4351,120,0,120,19
4352,152,0,152,18
4353,0,0,0,103
4355,0,0,0,11
4356,448,0,128,286
4357,0,0,0,281
4359,0,0,0,5
4360,0,0,0,103
4362,0,0,0,4
4366,0,0,0,4
4368,0,0,0,1
4369,0,0,0,1
4370,184,184,0,1
4373,0,0,0,4
4380,0,0,0,4
4381,1240,296,312,4
4383,0,0,0,63
4386,0,0,0,38
4389,0,0,0,6
4390,0,0,0,16
4396,0,0,0,9
4397,0,0,0,16
4400,0,0,0,26
